"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"SL","RE-Mean","RE",0.935,0.951,0.95,0.952,0.939,0.959,0.937,0.938,0.941
"SL","RE","RE",0.845,0.913,0.939,0.876,0.911,0.947,0.898,0.908,0.93
"SL","SL","RE",0,0,0,0,0,0,0,0,0
"FE","FE","RE-Mean",0.832,0.811,0.806,0.818,0.804,0.771,0.77,0.772,0.725
"FE","RE-Mean","RE-Mean",0.95,0.946,0.961,0.95,0.95,0.949,0.947,0.943,0.941
"FE","RE","RE-Mean",0.95,0.945,0.961,0.943,0.948,0.949,0.939,0.945,0.94
"FE","SL","RE-Mean",0.23,0.35,0.548,0.117,0.233,0.389,0.031,0.048,0.084
"RE-Mean","FE","RE-Mean",0.858,0.836,0.818,0.832,0.814,0.785,0.778,0.779,0.731
"RE-Mean","RE-Mean","RE-Mean",0.953,0.947,0.958,0.95,0.949,0.953,0.947,0.943,0.942
"RE-Mean","RE","RE-Mean",0.948,0.946,0.958,0.943,0.946,0.952,0.943,0.943,0.943
"RE-Mean","SL","RE-Mean",0.001,0.009,0.061,0.002,0.009,0.043,0.003,0.007,0.017
"RE","FE","RE-Mean",0.857,0.834,0.818,0.832,0.813,0.785,0.784,0.778,0.728
"RE","RE-Mean","RE-Mean",0.953,0.948,0.958,0.951,0.95,0.954,0.948,0.944,0.942
"RE","RE","RE-Mean",0.948,0.949,0.957,0.942,0.946,0.954,0.943,0.943,0.942
"RE","SL","RE-Mean",0.001,0.011,0.054,0.002,0.009,0.044,0.003,0.007,0.017
"SL","FE","RE-Mean",0.953,0.954,0.945,0.947,0.949,0.956,0.955,0.951,0.944
"SL","RE-Mean","RE-Mean",0.947,0.954,0.949,0.956,0.948,0.957,0.951,0.94,0.949
"SL","RE","RE-Mean",0.891,0.927,0.945,0.928,0.934,0.955,0.937,0.932,0.942
"SL","SL","RE-Mean",0,0,0,0,0,0,0,0,0
"FE","FE","SL",0,0,0,0,0,0,0,0,0
"FE","RE-Mean","SL",0,0,0,0,0,0,0,0,0
"FE","RE","SL",0,0,0,0,0,0,0,0,0
"FE","SL","SL",0,0,0,0.001,0,0,0,0,0
"RE-Mean","FE","SL",0,0,0,0,0,0,0,0,0
"RE-Mean","RE-Mean","SL",0,0,0,0,0,0,0,0,0
"RE-Mean","RE","SL",0,0,0,0,0,0,0,0,0
"RE-Mean","SL","SL",0,0,0,0,0,0,0,0.001,0
"RE","FE","SL",0,0,0,0,0,0,0,0,0
"RE","RE-Mean","SL",0,0,0,0,0,0,0,0,0
"RE","RE","SL",0,0,0,0,0,0,0,0,0
"RE","SL","SL",0,0,0,0,0,0,0,0,0
"SL","FE","SL",0,0,0,0,0,0,0,0,0
"SL","RE-Mean","SL",0,0,0,0,0,0,0,0,0
"SL","RE","SL",0,0,0,0,0,0,0,0,0
"SL","SL","SL",0,0,0,0,0,0,0,0,0
